age,annual_income,employment_years,loan_amount,total_debt,credit_history_years,previous_defaults,employment_type,loan_purpose,payment_history,creditworthy
59,149149.0,29.0,8716.0,4696,11,0,Salaried,Home,Poor,1
49,143501.0,3.0,23259.0,21058,11,1,Salaried,Vehicle,Good,1
35,38611.0,1.0,30933.0,21313,5,0,Contract,Personal,Excellent,0
63,32060.0,19.0,43689.0,20149,18,0,Self-employed,Business,Good,0
28,61303.0,10.0,6378.0,54521,6,2,Business,Personal,Excellent,0
41,57711.0,23.0,42583.0,46740,23,0,Contract,Home,Poor,0
59,91340.0,17.0,48546.0,5956,2,0,Salaried,Business,Excellent,1
39,120974.0,7.0,21835.0,76731,15,0,Business,Education,Good,1
43,85728.0,2.0,31033.0,83612,17,0,Salaried,Education,Good,1
31,29246.0,8.0,26000.0,67641,13,0,Business,Personal,Good,0
31,145796.0,13.0,47496.0,64811,13,0,,Home,Average,0
44,110263.0,19.0,12332.0,53160,6,0,Contract,Personal,Good,1
56,29302.0,28.0,44604.0,52313,3,0,Salaried,Home,,0
60,85506.0,5.0,4800.0,64232,24,0,Salaried,Personal,Good,1
44,59157.0,9.0,31538.0,16417,7,0,Business,Education,Good,0
23,72917.0,5.0,32119.0,25729,5,0,Salaried,Vehicle,Excellent,0
42,114646.0,9.0,10333.0,31099,12,1,Self-employed,Vehicle,Good,1
22,101122.0,4.0,7410.0,30961,4,0,Salaried,Home,Good,1
44,42519.0,16.0,,13602,16,0,Business,Education,Average,1
64,98910.0,8.0,58044.0,10256,4,0,,Education,Poor,0
50,138430.0,16.0,32519.0,87120,5,0,Salaried,Home,Poor,0
58,89324.0,23.0,7808.0,35681,18,0,Salaried,Vehicle,Poor,1
22,,4.0,8796.0,88440,4,0,Salaried,Vehicle,Excellent,0
41,77379.0,8.0,23180.0,65789,23,1,Salaried,Home,Excellent,1
53,43053.0,0.0,56245.0,44361,25,1,Salaried,Education,Good,0
32,149994.0,1.0,45056.0,65503,13,0,Salaried,Home,Average,1
42,116723.0,24.0,19709.0,35540,21,1,Salaried,Personal,Poor,1
64,69356.0,15.0,56128.0,27536,3,0,Self-employed,Home,Average,0
45,28789.0,27.0,19543.0,85700,6,0,Business,Business,Excellent,0
47,115720.0,0.0,39418.0,64043,7,0,Salaried,Vehicle,Poor,0
62,84656.0,9.0,31075.0,79532,24,0,Self-employed,Personal,Good,1
48,62028.0,17.0,39755.0,57575,12,1,Self-employed,Personal,Excellent,0
36,82484.0,18.0,49968.0,3871,5,0,Salaried,Business,Good,1
35,50154.0,17.0,39465.0,47002,5,0,Business,Personal,Excellent,0
64,20336.0,7.0,32502.0,50812,23,2,Salaried,Home,Good,0
23,121677.0,5.0,18724.0,23626,5,0,Self-employed,Education,Good,1
57,85779.0,27.0,5828.0,60979,2,0,Salaried,Vehicle,Good,0
27,37029.0,9.0,53120.0,77057,2,0,Self-employed,Personal,Good,0
41,77201.0,22.0,19087.0,67668,12,1,Self-employed,Personal,Average,0
29,50265.0,1.0,14605.0,81070,11,1,Salaried,Vehicle,Average,0
59,120916.0,7.0,33337.0,43998,1,0,Salaried,Business,Good,1
38,64197.0,20.0,7482.0,64814,15,0,Contract,Business,Average,0
24,143733.0,6.0,29005.0,46607,6,0,Salaried,Home,Poor,0
45,89907.0,7.0,24760.0,8812,5,1,Self-employed,Personal,Excellent,1
34,146876.0,16.0,52952.0,62844,7,0,Contract,Vehicle,Good,1
29,82435.0,11.0,7463.0,71093,11,0,Business,Vehicle,,1
46,58631.0,16.0,48628.0,3179,7,2,Self-employed,Personal,Excellent,0
22,147038.0,4.0,6912.0,44798,4,0,Business,Home,Average,1
40,,22.0,6648.0,75601,5,0,Business,Vehicle,Average,0
48,82772.0,23.0,35623.0,9275,13,0,Salaried,Vehicle,Excellent,1
27,144108.0,9.0,37634.0,51574,2,2,Salaried,Home,Average,0
64,32382.0,18.0,46602.0,48857,9,0,Salaried,Personal,Average,0
28,102291.0,4.0,51062.0,21700,2,0,Contract,Home,Poor,0
55,119195.0,11.0,51334.0,40464,11,0,Self-employed,Education,Good,1
34,38609.0,0.0,5112.0,43351,16,0,Salaried,Home,Poor,0
37,93683.0,19.0,24054.0,83534,4,0,Business,Personal,Good,1
56,142714.0,4.0,6492.0,14869,19,0,Salaried,Personal,Good,1
