path,emotion,emotion_id,actor
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-01-01-01-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-01-01-02-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-01-02-01-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-01-02-02-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-02-01-01-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-02-01-02-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-02-02-01-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-05-02-02-02-01.wav,angry,4,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-01-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-02-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-01-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-02-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-01-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-02-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-02-01-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-02-02-01.wav,calm,1,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-01-01-01-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-01-01-02-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-01-02-01-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-01-02-02-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-02-01-01-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-02-01-02-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-02-02-01-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-07-02-02-02-01.wav,disgust,6,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-01-01-01-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-01-01-02-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-01-02-01-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-01-02-02-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-02-01-01-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-02-01-02-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-02-02-01-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-06-02-02-02-01.wav,fearful,5,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-01-01-01-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-01-01-02-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-01-02-01-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-01-02-02-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-02-01-01-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-02-01-02-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-02-02-01-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-03-02-02-02-01.wav,happy,2,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-01-01.wav,neutral,0,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-02-01.wav,neutral,0,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-01-01.wav,neutral,0,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-02-01.wav,neutral,0,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-01-01-01-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-01-01-02-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-01-02-01-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-01-02-02-01.wav,sad,3,1
Audio_Speech_Actors_01-24_16k\Actor_01\03-01-04-02-01-01-01.wav,sad,3,1
